v8-version,8,5,210,20,0
code-creation,Builtin,3,3174,0x1097bb480,187,AsyncFunctionAwaitRejectClosure
code-creation,Builtin,3,3180,0x1097bb540,183,AsyncFunctionAwaitResolveClosure
code-creation,Builtin,3,3186,0x1097bb600,12,BigIntConstructor
code-creation,Builtin,3,3191,0x1097bb620,12,BigIntAsUintN
code-creation,Builtin,3,3196,0x1097bb640,12,BigIntAsIntN
code-creation,Builtin,3,3201,0x1097bb660,12,BigIntPrototypeToLocaleString
code-creation,Builtin,3,3207,0x1097bb680,12,BigIntPrototypeToString
code-creation,Builtin,3,3213,0x1097bb6a0,12,BigIntPrototypeValueOf
code-creation,Builtin,3,3219,0x1097bb6c0,12,CallSitePrototypeGetColumnNumber
code-creation,Builtin,3,3225,0x1097bb6e0,12,CallSitePrototypeGetEvalOrigin
code-creation,Builtin,3,3231,0x1097bb700,12,CallSitePrototypeGetFileName
code-creation,Builtin,3,3237,0x1097bb720,12,CallSitePrototypeGetFunction
code-creation,Builtin,3,3242,0x1097bb740,12,CallSitePrototypeGetFunctionName
code-creation,Builtin,3,3249,0x1097bb760,12,CallSitePrototypeGetLineNumber
code-creation,Builtin,3,3254,0x1097bb780,12,CallSitePrototypeGetMethodName
code-creation,Builtin,3,3261,0x1097bb7a0,12,CallSitePrototypeGetPosition
code-creation,Builtin,3,3266,0x1097bb7c0,12,CallSitePrototypeGetPromiseIndex
code-creation,Builtin,3,3272,0x1097bb7e0,12,CallSitePrototypeGetScriptNameOrSourceURL
code-creation,Builtin,3,3279,0x1097bb800,12,CallSitePrototypeGetThis
code-creation,Builtin,3,3284,0x1097bb820,12,CallSitePrototypeGetTypeName
code-creation,Builtin,3,3290,0x1097bb840,12,CallSitePrototypeIsAsync
code-creation,Builtin,3,3296,0x1097bb860,12,CallSitePrototypeIsConstructor
code-creation,Builtin,3,3312,0x1097bb880,12,CallSitePrototypeIsEval
code-creation,Builtin,3,3318,0x1097bb8a0,12,CallSitePrototypeIsNative
code-creation,Builtin,3,3324,0x1097bb8c0,12,CallSitePrototypeIsPromiseAll
code-creation,Builtin,3,3330,0x1097bb8e0,12,CallSitePrototypeIsToplevel
code-creation,Builtin,3,3336,0x1097bb900,12,CallSitePrototypeToString
code-creation,Builtin,3,3342,0x1097bb920,12,ConsoleDebug
code-creation,Builtin,3,3347,0x1097bb940,12,ConsoleError
code-creation,Builtin,3,3352,0x1097bb960,12,ConsoleInfo
code-creation,Builtin,3,3357,0x1097bb980,12,ConsoleLog
code-creation,Builtin,3,3362,0x1097bb9a0,12,ConsoleWarn
code-creation,Builtin,3,3367,0x1097bb9c0,12,ConsoleDir
code-creation,Builtin,3,3372,0x1097bb9e0,12,ConsoleDirXml
code-creation,Builtin,3,3377,0x1097bba00,12,ConsoleTable
code-creation,Builtin,3,3382,0x1097bba20,12,ConsoleTrace
code-creation,Builtin,3,3387,0x1097bba40,12,ConsoleGroup
code-creation,Builtin,3,3392,0x1097bba60,12,ConsoleGroupCollapsed
code-creation,Builtin,3,3398,0x1097bba80,12,ConsoleGroupEnd
code-creation,Builtin,3,3403,0x1097bbaa0,12,ConsoleClear
code-creation,Builtin,3,3408,0x1097bbac0,12,ConsoleCount
code-creation,Builtin,3,3413,0x1097bbae0,12,ConsoleCountReset
code-creation,Builtin,3,3419,0x1097bbb00,12,ConsoleAssert
code-creation,Builtin,3,3424,0x1097bbb20,12,ConsoleProfile
code-creation,Builtin,3,3429,0x1097bbb40,12,ConsoleProfileEnd
code-creation,Builtin,3,3434,0x1097bbb60,12,ConsoleTime
code-creation,Builtin,3,3440,0x1097bbb80,12,ConsoleTimeLog
code-creation,Builtin,3,3445,0x1097bbba0,12,ConsoleTimeEnd
code-creation,Builtin,3,3450,0x1097bbbc0,12,ConsoleTimeStamp
code-creation,Builtin,3,3455,0x1097bbbe0,12,ConsoleContext
code-creation,Builtin,3,3461,0x1097bbc00,12,DataViewConstructor
code-creation,Builtin,3,3466,0x1097bbc20,12,DateConstructor
code-creation,Builtin,3,3471,0x1097bbc40,230,DatePrototypeGetDate
code-creation,Builtin,3,3477,0x1097bbd40,230,DatePrototypeGetDay
code-creation,Builtin,3,3482,0x1097bbe40,230,DatePrototypeGetFullYear
code-creation,Builtin,3,3488,0x1097bbf40,230,DatePrototypeGetHours
code-creation,Builtin,3,3494,0x1097bc040,198,DatePrototypeGetMilliseconds
code-creation,Builtin,3,3500,0x1097bc120,230,DatePrototypeGetMinutes
code-creation,Builtin,3,3506,0x1097bc220,230,DatePrototypeGetMonth
code-creation,Builtin,3,3511,0x1097bc320,230,DatePrototypeGetSeconds
code-creation,Builtin,3,3517,0x1097bc420,142,DatePrototypeGetTime
code-creation,Builtin,3,3522,0x1097bc4c0,198,DatePrototypeGetTimezoneOffset
code-creation,Builtin,3,3528,0x1097bc5a0,198,DatePrototypeGetUTCDate
code-creation,Builtin,3,3534,0x1097bc680,198,DatePrototypeGetUTCDay
code-creation,Builtin,3,3540,0x1097bc760,198,DatePrototypeGetUTCFullYear
code-creation,Builtin,3,3545,0x1097bc840,198,DatePrototypeGetUTCHours
code-creation,Builtin,3,3551,0x1097bc920,198,DatePrototypeGetUTCMilliseconds
code-creation,Builtin,3,3557,0x1097bca00,198,DatePrototypeGetUTCMinutes
code-creation,Builtin,3,3563,0x1097bcae0,198,DatePrototypeGetUTCMonth
code-creation,Builtin,3,3569,0x1097bcbc0,198,DatePrototypeGetUTCSeconds
code-creation,Builtin,3,3574,0x1097bcca0,142,DatePrototypeValueOf
code-creation,Builtin,3,3580,0x1097bcd40,464,DatePrototypeToPrimitive
code-creation,Builtin,3,3586,0x1097bcf20,12,DatePrototypeGetYear
code-creation,Builtin,3,3591,0x1097bcf40,12,DatePrototypeSetYear
code-creation,Builtin,3,3599,0x1097bcf60,12,DateNow
code-creation,Builtin,3,3604,0x1097bcf80,12,DateParse
code-creation,Builtin,3,3609,0x1097bcfa0,12,DatePrototypeSetDate
code-creation,Builtin,3,3614,0x1097bcfc0,12,DatePrototypeSetFullYear
code-creation,Builtin,3,3620,0x1097bcfe0,12,DatePrototypeSetHours
code-creation,Builtin,3,3626,0x1097bd000,12,DatePrototypeSetMilliseconds
code-creation,Builtin,3,3631,0x1097bd020,12,DatePrototypeSetMinutes
code-creation,Builtin,3,3638,0x1097bd040,12,DatePrototypeSetMonth
code-creation,Builtin,3,3643,0x1097bd060,12,DatePrototypeSetSeconds
code-creation,Builtin,3,3649,0x1097bd080,12,DatePrototypeSetTime
code-creation,Builtin,3,3654,0x1097bd0a0,12,DatePrototypeSetUTCDate
code-creation,Builtin,3,3660,0x1097bd0c0,12,DatePrototypeSetUTCFullYear
code-creation,Builtin,3,3673,0x1097bd0e0,12,DatePrototypeSetUTCHours
code-creation,Builtin,3,3680,0x1097bd100,12,DatePrototypeSetUTCMilliseconds
code-creation,Builtin,3,3686,0x1097bd120,12,DatePrototypeSetUTCMinutes
code-creation,Builtin,3,3692,0x1097bd140,12,DatePrototypeSetUTCMonth
code-creation,Builtin,3,3697,0x1097bd160,12,DatePrototypeSetUTCSeconds
code-creation,Builtin,3,3703,0x1097bd180,12,DatePrototypeToDateString
code-creation,Builtin,3,3709,0x1097bd1a0,12,DatePrototypeToISOString
code-creation,Builtin,3,3715,0x1097bd1c0,12,DatePrototypeToUTCString
code-creation,Builtin,3,3721,0x1097bd1e0,12,DatePrototypeToString
code-creation,Builtin,3,3726,0x1097bd200,12,DatePrototypeToTimeString
code-creation,Builtin,3,3732,0x1097bd220,12,DatePrototypeToJson
code-creation,Builtin,3,3737,0x1097bd240,12,DateUTC
code-creation,Builtin,3,3742,0x1097bd260,12,ErrorConstructor
code-creation,Builtin,3,3747,0x1097bd280,12,ErrorCaptureStackTrace
code-creation,Builtin,3,3753,0x1097bd2a0,12,ErrorPrototypeToString
code-creation,Builtin,3,3759,0x1097bd2c0,12,FunctionConstructor
code-creation,Builtin,3,3764,0x1097bd2e0,73,FunctionPrototypeApply
code-creation,Builtin,3,3770,0x1097bd340,12,FunctionPrototypeBind
code-creation,Builtin,3,3775,0x1097bd360,50,FunctionPrototypeCall
code-creation,Builtin,3,3780,0x1097bd3a0,12,FunctionPrototypeToString
code-creation,Builtin,3,3786,0x1097bd3c0,209,CreateIterResultObject
code-creation,Builtin,3,3792,0x1097bd4a0,850,CreateGeneratorObject
code-creation,Builtin,3,3797,0x1097bd800,12,GeneratorFunctionConstructor
code-creation,Builtin,3,3803,0x1097bd820,504,GeneratorPrototypeNext
code-creation,Builtin,3,3809,0x1097bda20,504,GeneratorPrototypeReturn
code-creation,Builtin,3,3814,0x1097bdc20,504,GeneratorPrototypeThrow
code-creation,Builtin,3,3820,0x1097bde20,12,AsyncFunctionConstructor
code-creation,Builtin,3,3826,0x1097bde40,61,GetIteratorWithFeedbackLazyDeoptContinuation
code-creation,Builtin,3,3832,0x1097bde80,12,GlobalDecodeURI
code-creation,Builtin,3,3838,0x1097bdea0,12,GlobalDecodeURIComponent
code-creation,Builtin,3,3843,0x1097bdec0,12,GlobalEncodeURI
